car_id,count_total,count_canceled_delay,benefit,percent_canceled_delay
368432,23.0,1.0,benefit,4.3478260869565215
374169,9.0,1.0,benefit,11.11111111111111
301301,16.0,1.0,benefit,6.25
383309,10.0,1.0,benefit,10.0
295783,16.0,1.0,benefit,6.25
282893,4.0,1.0,benefit,25.0
409690,8.0,1.0,benefit,12.5
245154,15.0,1.0,benefit,6.666666666666667
241021,29.0,1.0,benefit,3.4482758620689653
340616,13.0,1.0,benefit,7.6923076923076925
404542,7.0,1.0,benefit,14.285714285714285
381499,10.0,1.0,benefit,10.0
280805,9.0,1.0,benefit,11.11111111111111
376311,14.0,1.0,benefit,7.142857142857142
396250,6.0,1.0,benefit,16.666666666666664
365926,22.0,4.0,benefit,18.181818181818183
353425,20.0,1.0,benefit,5.0
390927,13.0,1.0,benefit,7.6923076923076925
296967,10.0,1.0,benefit,10.0
342154,10.0,1.0,benefit,10.0
383344,15.0,1.0,benefit,6.666666666666667
346755,6.0,1.0,benefit,16.666666666666664
285452,16.0,1.0,benefit,6.25
334190,33.0,2.0,benefit,6.0606060606060606
298429,6.0,1.0,benefit,16.666666666666664
387431,2.0,1.0,benefit,50.0
312078,15.0,1.0,benefit,6.666666666666667
367632,17.0,1.0,benefit,5.88235294117647
379092,6.0,1.0,benefit,16.666666666666664
316449,9.0,1.0,benefit,11.11111111111111
341037,6.0,1.0,benefit,16.666666666666664
384193,12.0,1.0,benefit,8.333333333333332
280406,4.0,1.0,benefit,25.0
384040,7.0,1.0,benefit,14.285714285714285
368724,7.0,1.0,benefit,14.285714285714285
335341,10.0,1.0,benefit,10.0
335276,23.0,1.0,benefit,4.3478260869565215
382444,15.0,2.0,benefit,13.333333333333334
351660,11.0,1.0,benefit,9.090909090909092
327336,5.0,1.0,benefit,20.0
271621,4.0,1.0,benefit,25.0
340014,10.0,1.0,benefit,10.0
375621,10.0,1.0,benefit,10.0
403962,11.0,1.0,benefit,9.090909090909092
401387,16.0,1.0,benefit,6.25
359045,12.0,1.0,benefit,8.333333333333332
396435,10.0,1.0,benefit,10.0
342699,25.0,1.0,benefit,4.0
297851,4.0,1.0,benefit,25.0
385423,4.0,1.0,benefit,25.0
349171,7.0,1.0,benefit,14.285714285714285
243721,7.0,1.0,benefit,14.285714285714285
410702,4.0,1.0,benefit,25.0
304775,8.0,1.0,benefit,12.5
261576,5.0,1.0,benefit,20.0
412021,7.0,1.0,benefit,14.285714285714285
406161,11.0,2.0,benefit,18.181818181818183
195977,6.0,1.0,benefit,16.666666666666664
378689,5.0,1.0,benefit,20.0
385523,10.0,1.0,benefit,10.0
377591,13.0,1.0,benefit,7.6923076923076925
394217,3.0,1.0,benefit,33.33333333333333
394380,7.0,1.0,benefit,14.285714285714285
381787,17.0,1.0,benefit,5.88235294117647
387976,6.0,1.0,benefit,16.666666666666664
396755,4.0,1.0,benefit,25.0
380662,6.0,1.0,benefit,16.666666666666664
413181,7.0,1.0,benefit,14.285714285714285
223850,5.0,1.0,benefit,20.0
351546,6.0,1.0,benefit,16.666666666666664
373889,5.0,1.0,benefit,20.0
338647,4.0,1.0,benefit,25.0
390590,10.0,1.0,benefit,10.0
376491,16.0,1.0,benefit,6.25
383144,3.0,1.0,benefit,33.33333333333333
360981,7.0,1.0,benefit,14.285714285714285
308181,4.0,1.0,benefit,25.0
384396,8.0,1.0,benefit,12.5
372809,4.0,1.0,benefit,25.0
336349,9.0,1.0,benefit,11.11111111111111
364199,3.0,1.0,benefit,33.33333333333333
414410,2.0,1.0,benefit,50.0
399431,4.0,1.0,benefit,25.0
397636,3.0,1.0,benefit,33.33333333333333
380479,8.0,1.0,benefit,12.5
193097,4.0,1.0,benefit,25.0
311664,3.0,1.0,benefit,33.33333333333333
389836,5.0,1.0,benefit,20.0
396409,6.0,1.0,benefit,16.666666666666664
405005,15.0,1.0,benefit,6.666666666666667
401869,7.0,1.0,benefit,14.285714285714285
205041,4.0,1.0,benefit,25.0
373927,3.0,1.0,benefit,33.33333333333333
386722,3.0,1.0,benefit,33.33333333333333
364890,4.0,1.0,benefit,25.0
377594,6.0,1.0,benefit,16.666666666666664
282433,4.0,1.0,benefit,25.0
392633,3.0,1.0,benefit,33.33333333333333
407607,4.0,2.0,benefit,50.0
